,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2316844,0.03012048,0.05271084,0.02710843,0.1551205,0.01506024,0.0436747,0.004518072,0.001506024,0.003012048,0.001506024,0.01656627,0.004518072,0.003012048,0.001506024,0.007530121,0,0,0.003012048,0,0.001506024,0.001506024,0.004518072
ILMN_1675131,0.7740964,0.5165663,0.8644578,0.873494,0.811747,0.8915663,0.8012048,0.8810241,0.7710843,0.8388554,0.9066265,0.9126506,0.9096386,0.7756024,0.808735,0.8493976,0.8599398,0.6822289,0.876506,0.6370482,0.9262048,0.7605422
ILMN_2131880,0,0.01054217,0.01054217,0.01204819,0,0.02108434,0,0.02710843,0.1792169,0,0.2078313,0.03614458,0,0,0.01957831,0.03614458,0,0,0,0,0,0
ILMN_1784113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1754062,0,0,0,0,0,0,0,0.001506024,0.003012048,0.007530121,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1752559,0.3463855,0.185241,0.2334337,0.3463855,0.5527108,0.5963855,0.2801205,375,0.1355422,0.1129518,0.3298193,0.1596386,0.1099398,0.4006024,0.1536145,0.189759,0.5120482,0.1204819,0.1762048,0.1912651,0.2951807,0.438253
ILMN_1767722,0.119921,0.02612123,0.08051146,0.05650508,0.1485413,0.1128107,0.02045909,0.1943625,0.1712253,0.2002093,0.2684695,0.4391853,0.1223559,0.3146073,0.2512249,0.09997895,0.2218668,0.2183228,0.1727628,0.1790005,0.2192061,0.2901885
ILMN_2089616,0.001506024,0.001506024,0,0.009036144,0,0,0,0,0.003012048,0.001506024,0.009036144,0,0,0,0,0.01656627,0,0,0,0.001506024,0.009036144,0
ILMN_1744033,0.03463855,0.03463855,0.04518072,0.1340361,0.007530121,0.03313253,0.01506024,0.4231928,0.5948795,0.03614458,0.3915663,0.5783132,0.3795181,0.4021084,0.5737952,0.2304217,0.1054217,0.311747,0.5271084,0.246988,0.3072289,0.3915663
ILMN_1766729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1697634,0.9954819,0.873494,0.2138554,0.2530121,0.4472892,0.9849398,0.4096386,0.8674699,0.7198795,0.6340361,0.939759,0.814759,0.6099398,0.811747,0.7364458,0.7605422,0.7650602,0.8629518,0.8192771,0.6385542,0.9774097,0.7018072
ILMN_2290776,0,0,0.006024096,0,0.007530121,0.0436747,0,0,0.003012048,0,0.006024096,0.02560241,0,0.003012048,0.2033132,0.03162651,0,0.004518072,0.003012048,0.01054217,0.001506024,0.1129518
ILMN_1715603,0.004518072,0.01054217,0.02409638,0.01054217,0.01054217,0.03313253,0.03012048,0.01506024,0.03915663,0.007530121,0.05873494,0.003012048,0.02560241,0.007530121,0.03162651,0.02108434,0.01355422,0.02861446,0.02108434,0.04518072,0.05722892,0.009036144
ILMN_2225577,0.01446727,0.000111078,0.002161316,0.002120018,0.008578975,0.00188323,0.001339367,0.02612123,0.15852,0.001999288,0.008683595,0.2218668,0.001369806,0.05016774,0.01304066,0.03616289,0.006571581,0.02297349,0.002465513,0.007388361,0.02008936,0.005272328
ILMN_1782079,0.03012048,0.009036144,0.1430723,0,0,0,0.2228916,0.0496988,0.1385542,0.001506024,0.02259036,0.1039157,0.05722892,0.1626506,0.1611446,0.1701807,0.1310241,0,0.1174699,0.09186747,0.09939759,0.1551205
ILMN_1801632,0.2063253,0.186747,0.04066265,0.1686747,0.1355422,0.1099398,0.3840362,0.3177711,0.6445783,0.2635542,0.6370482,0.1837349,0.435241,0.0376506,0.5918674,0.6415663,0.7168674,0.2454819,0.7198795,0.09638554,0.03463855,0.6641566
ILMN_2267508,0.1494332,0.3270261,0.5626622,0.06369869,0.5354913,0.1190485,0.1698462,0.2869259,0.3775596,0.1461581,0.2984479,0.3569107,0.376252,0.4703331,0.1190485,0.517909,0.1620382,0.2483851,0.7176194,0.46161,0.3556394,0.3356075
ILMN_1723042,0.02861446,0.01355422,0.01054217,0.004518072,0.02861446,0.03313253,0.03162651,0.06174699,0.02108434,0.1325301,0.06174699,0.02560241,0.0376506,0.02560241,0.02409638,0.01807229,0.07379518,0.04216867,0.04819277,0.02710843,0.02710843,0.03012048
ILMN_1790109,0,0,0.006024096,0.01204819,0.007530121,0.01054217,0,0.07680723,0.126506,0.1024096,0.06174699,0.9141566,0.09789157,0.9819277,0.6099398,0.2364458,0.2906626,125,0.2349398,0.4698795,0.2289157,0.3900602
ILMN_1724806,0.001506024,0.004518072,0,0,0,0.003012048,0.006024096,0.06174699,0.1174699,0.01506024,0.02259036,0.3057229,0.02108434,0.1099398,0.2695783,0.2138554,0.007530121,0.08283132,0.02108434,0.02108434,0.02710843,0.4713855
ILMN_1736353,0.9307229,0.6521084,0.5888554,0.4442771,0.7289157,0.8629518,0.873494,0.4487952,0.3388554,0.2153614,0.8283132,0.4533133,0.1325301,0.2048193,0.3704819,0.6310241,0.3418675,0.2771084,0.7274097,0.7364458,0.4262048,0.7771084
