,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_1666596,48.37732,47.12789,56.62858,86.19978,60.57736,73.02731,45.74973,78.67636,67.70995,69.26311,71.05849,70.34352,73.29179,147.7001,63.22806,93.43097,75.8193,97.57076,72.43777,72.66223,148.8611,75.34377
ILMN_1679011,91.62668,117.8162,225.0058,341.5523,221.9005,176.5958,143354,193.3349,133945,172.1611,166.2653,61.34056,224.1143,115.7771,131205,130.2025,226.0089,224308,226.1141,171.0553,226.6692,136.7839
ILMN_1661519,58.32372,97.73566,100.7218,111.4727,138.7467,180.4475,107.9434,145.3814,138.0384,118.8132,209.7719,252.4174,164.8263,311.7437,192.9739,180.5252,127.1427,184.8148,115.6596,180328,163.8647,226.5372
ILMN_1803906,581.1193,814.5814,819.4188,1209465,1041372,1076712,913.2358,2321287,1953919,2406821,2241143,1598703,1852599,1971791,1997.74,3190525,2347976,2191258,2605821,1997241,2304818,2287.12
ILMN_2409220,252.8765,324.6514,410.9783,591.9725,507.3101,228.0354,393.9409,443.8124,345.5486,357.7632,695.3245,567.5074,510.9783,704.6863,285.5652,512.3568,465.1532,462.2952,412.6013,492.8435,422.6613,366.7451
ILMN_2361920,45.51523,40.13876,34.41436,56.11316,51.22694,40.7266,43.0121,51.79776,62.85985,53.95575,65.97644,64.68447,63.05013,70.2812,64.0411,77.79256,66.07053,71.47844,64.09949,59.31987,63.33793,63.00628
ILMN_1766346,97.64803,126.9905,146.7301,180202,127.1116,84.20798,98.16525,201.3025,146.5677,140.7022,161.6434,70.30145,169.2214,163.9384,154.1936,242.1346,194.8747,229.6583,170.8975,181.3335,203105,133.5226
ILMN_1710544,131.6253,160.1589,195.8516,263.9375,235.9733,169.9979,192.7971,190.7774,142.6642,179.1145,135.0761,112.3986,149.0956,338.6256,125.9818,361.1255,271.7247,169.6403,185.3721,169.7278,207.6705,192.5273
ILMN_2053178,42.20888,39.79915,30.82231,45.84716,48.79266,36.92782,40.52477,53.28565,53.04247,57.04539,47.12624,51.89323,44.90937,54.57793,47.63972,89.80339,51.74339,62.38454,57.22296,50.36444,59.69615,55.09524
ILMN_1689306,112347,89.66407,517.3033,133.9708,275.1375,150466,330.7263,168.6422,99.47767,256.9759,160.0379,105442,195.7709,201.0175,145.5552,299.5531,353.5482,188.3944,397.2268,240.9633,132.4345,127.1301
ILMN_1791328,536.1234,1512342,832.4111,1990697,1163692,796.9366,706.1697,1280385,1024483,950187,1564934,1248.73,1348112,2091585,1141711,1376851,1165112,1468321,1037591,1713024,1460.7,1432411
